Democratic,Republican,,Wisconsin Greens,Constitution,Libertarian,Independent
11890.0,3552.0,26.0,0.0,0.0,0.0,0.0
0.0,10852.5,141.0,0.0,0.0,0.0,0.0
11929.0,3975.5,12.0,0.0,0.0,0.0,0.0
10733.0,3276.5,36.0,0.0,0.0,0.0,0.0
374.5,14249.0,14.0,0.0,0.0,0.0,0.0
0.0,9903.0,116.0,0.0,0.0,0.0,0.0
10419.5,0.0,233.0,0.0,0.0,0.0,0.0
4348.5,0.0,116.0,0.0,0.0,0.0,0.0
7290.5,0.0,192.0,0.0,0.0,0.0,0.0
9952.0,0.0,72.0,1538.0,0.0,0.0,0.0
9749.5,0.0,124.0,0.0,0.0,0.0,0.0
8431.0,0.0,95.0,0.0,1761.0,0.0,0.0
9480.5,0.0,256.0,0.0,0.0,0.0,0.0
2136.0,13428.0,63.0,0.0,0.0,0.0,0.0
0.0,11236.5,311.0,0.0,0.0,0.0,0.0
9115.0,0.0,165.0,0.0,0.0,0.0,0.0
10958.5,0.0,144.0,0.0,0.0,0.0,0.0
8479.0,0.0,142.0,0.0,0.0,0.0,0.0
11962.0,0.0,418.0,0.0,0.0,0.0,0.0
3163.0,10905.0,52.0,0.0,0.0,0.0,0.0
0.0,10106.0,308.0,0.0,0.0,0.0,0.0
0.0,13025.5,115.0,0.0,0.0,0.0,0.0
5110.0,11495.0,33.0,0.0,0.0,0.0,0.0
0.0,9692.5,256.0,0.0,0.0,0.0,0.0
0.0,12063.0,76.0,0.0,0.0,0.0,0.0
10082.5,0.0,101.0,0.0,0.0,0.0,0.0
9844.0,0.0,120.0,0.0,0.0,0.0,0.0
14096.0,1087.5,7.0,0.0,0.0,0.0,0.0
14577.0,111.0,17.0,0.0,0.0,1183.0,0.0
13081.0,3722.0,13.0,0.0,0.0,0.0,0.0
10041.0,5087.5,20.0,696.0,0.0,0.0,0.0
11859.0,1132.0,22.0,0.0,0.0,0.0,0.0
9426.0,7522.5,28.0,0.0,0.0,0.0,0.0
11202.0,1642.0,225.0,0.0,0.0,0.0,0.0
14037.0,2397.5,9.0,0.0,0.0,0.0,0.0
12173.0,1879.5,9.0,0.0,0.0,0.0,0.0
8334.0,5322.0,12.0,0.0,0.0,0.0,0.0
9474.0,4896.5,18.0,0.0,0.0,0.0,565.0
11677.0,2851.5,21.0,0.0,0.0,0.0,0.0
8166.0,5081.5,9.0,0.0,0.0,0.0,0.0
0.0,7690.0,62.0,0.0,3493.0,0.0,0.0
12893.0,650.5,15.0,0.0,0.0,0.0,0.0
2207.0,11034.0,44.0,0.0,0.0,0.0,0.0
12796.0,1550.0,62.0,0.0,0.0,0.0,0.0
4701.5,5861.0,39.0,0.0,0.0,0.0,748.0
14287.0,134.0,7.0,0.0,0.0,0.0,1114.0
8298.0,8451.0,17.0,0.0,0.0,0.0,0.0
2728.0,13482.0,10.0,0.0,0.0,0.0,0.0
12203.0,2088.0,6.0,0.0,0.0,0.0,0.0
7502.0,2149.0,3.0,0.0,0.0,3901.0,0.0
11723.0,1552.5,91.0,0.0,0.0,0.0,0.0
8775.0,4302.0,14.0,0.0,0.0,0.0,0.0
12041.0,1850.0,21.0,0.0,0.0,0.0,0.0
12028.0,14045.0,39.0,2653.0,0.0,0.0,1157.0
0.0,9659.5,341.0,0.0,0.0,0.0,0.0
0.0,12399.0,132.0,0.0,0.0,0.0,0.0
0.0,9532.0,263.0,0.0,0.0,0.0,0.0
9357.0,6026.5,17.0,0.0,0.0,0.0,0.0
0.0,12741.5,66.0,0.0,0.0,0.0,0.0
0.0,12100.0,98.0,0.0,0.0,0.0,0.0
0.0,11765.5,149.0,0.0,0.0,0.0,0.0
8514.5,0.0,56.0,0.0,0.0,2195.0,0.0
7577.5,0.0,36.0,0.0,0.0,1980.0,0.0
8165.5,0.0,7.0,0.0,0.0,0.0,0.0
9170.5,0.0,179.0,0.0,0.0,0.0,0.0
9390.0,4200.5,41.0,0.0,0.0,0.0,0.0
11983.0,855.0,3.0,0.0,0.0,0.0,1635.0
14094.0,1259.0,51.0,0.0,0.0,0.0,0.0
0.0,9768.5,110.0,0.0,0.0,0.0,0.0
3745.5,10622.0,5.0,0.0,0.0,0.0,0.0
10840.0,0.0,158.0,0.0,0.0,0.0,0.0
3015.0,11032.0,12.0,0.0,0.0,0.0,0.0
957.5,14134.0,2.0,0.0,0.0,0.0,160.0
2690.0,11711.0,3.0,0.0,0.0,0.0,0.0
4257.5,11309.0,34.0,0.0,0.0,0.0,0.0
13538.0,0.0,192.0,0.0,0.0,0.0,0.0
13057.0,0.0,222.0,0.0,0.0,0.0,0.0
10245.0,5122.0,60.0,0.0,0.0,0.0,0.0
3624.0,14731.0,18.0,0.0,0.0,0.0,0.0
13992.0,14577.0,22.0,0.0,0.0,0.0,1169.0
12399.0,0.0,138.0,0.0,0.0,0.0,0.0
0.0,11135.5,209.0,0.0,0.0,0.0,0.0
0.0,12943.5,83.0,0.0,0.0,0.0,0.0
0.0,12626.0,125.0,0.0,0.0,0.0,0.0
12345.0,1148.5,6.0,0.0,0.0,0.0,0.0
1992.5,11667.0,12.0,0.0,0.0,0.0,0.0
10015.0,5002.0,17.0,0.0,0.0,0.0,0.0
11093.0,1028.0,23.0,0.0,0.0,0.0,0.0
10318.0,3942.0,12.0,0.0,0.0,0.0,0.0
12944.0,658.5,26.0,0.0,0.0,0.0,0.0
4190.0,9892.0,7.0,0.0,0.0,0.0,0.0
10955.0,1956.0,16.0,0.0,0.0,0.0,0.0
15501.0,724.5,45.0,0.0,0.0,0.0,0.0
11276.0,0.0,325.0,0.0,0.0,0.0,0.0
13079.0,2465.5,39.0,0.0,0.0,0.0,0.0
11923.0,1127.0,12.0,0.0,0.0,0.0,0.0
0.0,13756.0,182.0,0.0,0.0,0.0,0.0
0.0,9935.5,174.0,0.0,0.0,0.0,0.0
0.0,13084.5,114.0,0.0,0.0,0.0,0.0
